Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AddToCart and RemoveFromCart,Chrome 113.0.0.0,,,2023-05-27 19:34:44,2023-05-27 19:35:06,21.554s,PASSED
,,,,,,,
Test Cases/Swag Lab/AddToCart,Chrome 113.0.0.0,,,2023-05-27 19:34:44,2023-05-27 19:34:55,10.749s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:34:45,2023-05-27 19:34:47,1.950s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:34:47,2023-05-27 19:34:48,1.138s,PASSED
"setText(findTestObject(""Swag Lab/Login_SwagLab/input_user-name""), ""standard_user"")",Chrome 113.0.0.0,,,2023-05-27 19:34:48,2023-05-27 19:34:48,0.718s,PASSED
"setEncryptedText(findTestObject(""Swag Lab/Login_SwagLab/input_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 113.0.0.0,,,2023-05-27 19:34:48,2023-05-27 19:34:49,0.405s,PASSED
"click(findTestObject(""Swag Lab/Login_SwagLab/Login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:34:49,2023-05-27 19:34:49,0.423s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-27 19:34:49,2023-05-27 19:34:50,0.451s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1""))",Chrome 113.0.0.0,,,2023-05-27 19:34:50,2023-05-27 19:34:50,0.582s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2""))",Chrome 113.0.0.0,,,2023-05-27 19:34:50,2023-05-27 19:34:51,0.555s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2_3""))",Chrome 113.0.0.0,,,2023-05-27 19:34:51,2023-05-27 19:34:51,0.550s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2_3_4""))",Chrome 113.0.0.0,,,2023-05-27 19:34:51,2023-05-27 19:34:52,0.456s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2_3_4_5""))",Chrome 113.0.0.0,,,2023-05-27 19:34:52,2023-05-27 19:34:52,0.579s,PASSED
delay(2),Chrome 113.0.0.0,,,2023-05-27 19:34:52,2023-05-27 19:34:55,2.022s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:34:55,2023-05-27 19:34:55,0.647s,PASSED
,,,,,,,
Test Cases/Swag Lab/Remove from Cart,Chrome 113.0.0.0,,,2023-05-27 19:34:55,2023-05-27 19:35:06,10.594s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 19:34:55,2023-05-27 19:34:56,1.121s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 19:34:56,2023-05-27 19:34:57,0.960s,PASSED
"setText(findTestObject(""Swag Lab/Login_SwagLab/input_user-name""), ""standard_user"")",Chrome 113.0.0.0,,,2023-05-27 19:34:57,2023-05-27 19:34:58,0.722s,PASSED
"setEncryptedText(findTestObject(""Swag Lab/Login_SwagLab/input_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 113.0.0.0,,,2023-05-27 19:34:58,2023-05-27 19:34:59,0.398s,PASSED
"click(findTestObject(""Swag Lab/Login_SwagLab/Login-button""))",Chrome 113.0.0.0,,,2023-05-27 19:34:59,2023-05-27 19:34:59,0.399s,PASSED
"click(findTestObject(""Swag Lab/addToCart/Page_Swag Labs/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-27 19:34:59,2023-05-27 19:34:59,0.459s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1""))",Chrome 113.0.0.0,,,2023-05-27 19:34:59,2023-05-27 19:35:00,0.577s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2""))",Chrome 113.0.0.0,,,2023-05-27 19:35:00,2023-05-27 19:35:00,0.462s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2_3""))",Chrome 113.0.0.0,,,2023-05-27 19:35:00,2023-05-27 19:35:01,0.468s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2_3_4""))",Chrome 113.0.0.0,,,2023-05-27 19:35:01,2023-05-27 19:35:01,0.571s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Add to cart_1_2_3_4_5""))",Chrome 113.0.0.0,,,2023-05-27 19:35:01,2023-05-27 19:35:02,0.570s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Remove""))",Chrome 113.0.0.0,,,2023-05-27 19:35:02,2023-05-27 19:35:03,0.475s,PASSED
"click(findTestObject(""Object Repository/Swag Lab/addToCart/Page_Swag Labs/button_Remove_1""))",Chrome 113.0.0.0,,,2023-05-27 19:35:03,2023-05-27 19:35:03,0.593s,PASSED
delay(2),Chrome 113.0.0.0,,,2023-05-27 19:35:03,2023-05-27 19:35:05,2.003s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 19:35:05,2023-05-27 19:35:06,0.653s,PASSED
